Number,Category,Perfume,Brand,Key Notes,Dist Price,Why Stock,Notes
1,Women's Fragrances,Black Opium EDP 3.0oz,YSL,"Coffee, Vanilla, White Flowers",$101.50,"#1 TikTok viral, layering staple",
2,Women's Fragrances,Libre EDP 3.0oz,YSL,"Lavender, Orange Blossom, Musk",$100.00,"Top 10 global best-seller, layering star",
3,Women's Fragrances,Mon Paris EDP 3.0oz,YSL,"Strawberry, Datura, Patchouli",$92.00,"Modern classic, popular with Gen Z",
4,Women's Fragrances,Good Girl EDP 2.7oz,Carolina Herrera,"Almond, Tuberose, Tonka, Cocoa",$98.00,"Iconic stiletto bottle, viral on TikTok",
5,Women's Fragrances,Very Good Girl EDP 2.7oz,Carolina Herrera,"Lychee, Rose, Vetiver",$91.00,"Trendy follow-up, layering friendly",
6,Women's Fragrances,Flowerbomb EDP 3.4oz,Viktor&Rolf,"Rose, Jasmine, Patchouli",$68.00,"Perennial best-seller, layering workhorse",
7,Women's Fragrances,Bloom EDP 3.3oz,Gucci,"Tuberose, Jasmine, Rangoon Creeper",$73.00,"Modern floral icon, layering base",
8,Women's Fragrances,Daisy EDT 3.4oz,Marc Jacobs,"Strawberry, Violet, White Woods",$53.00,"Gateway fragrance, huge Gen Z appeal",
9,Women's Fragrances,Cloud EDP 3.4oz,Ariana Grande,"Coconut, Praline, Musk, Orchid",$44.75,"Viral BR540 alternative, layering sensation",
10,Women's Fragrances,J'adore EDP 3.4oz,Dior,"Ylang-Ylang, Rose, Jasmine",$127.50,"Timeless classic, luxury positioning",
11,Women's Fragrances,Miss Dior Absolutely Blooming 3.4oz,Dior,"Raspberry, Rose, Peony",$106.50,"Popular gourmand-floral, layering star",
12,Women's Fragrances,La Vie Est Belle EDP 3.4oz,Lancome,"Iris, Patchouli, Praline",$85.00,"Top 5 global seller, layering friendly",
13,Women's Fragrances,Burberry Her EDP 3.3oz,Burberry,"Strawberry, Jasmine, Musk",$83.00,"Gen Z favorite, trendy",
14,Women's Fragrances,Coco Mademoiselle EDT 3.4oz,Chanel,"Orange, Rose, Patchouli",N/A*,"Classic layering staple","check separate Chanel sourcing"
15,Women's Fragrances,Sì Passione Intense EDP 3.4oz,Armani,"Blackcurrant, Rose, Vanilla",$76.50,"Modern fruity-floral, versatile",
16,Women's Fragrances,Born In Roma Donna EDP 3.4oz,Valentino,"Jasmine, Vanilla, Cashmeran",$105.00,"Trendy, social media darling",
17,Women's Fragrances,Fantasy EDP 3.4oz,Britney Spears,"Kiwi, Jasmine, White Chocolate",$16.25,"Affordable layering favorite, cult following",
18,Women's Fragrances,Chance Eau Tendre EDT 3.4oz,Chanel,"Quince, Jasmine, White Musk",N/A*,"Best-selling Chanel for layering","check sourcing"
19,Women's Fragrances,Light Blue EDT 4.2oz (Women's),D&G,"Sicilian Lemon, Apple, Cedar",$42.50,"Iconic summer scent, layering base",
20,Women's Fragrances,Good Girl Gone Bad EDP 1.7oz,Kilian,"Jasmine, Rose, Osmanthus",$197.00,"Niche luxury, premium layering",
21,Men's Fragrances,Sauvage EDP 3.4oz,Dior,"Bergamot, Pepper, Ambroxan",$127.00,"#1 best-selling men's fragrance globally",
22,Men's Fragrances,Bleu de Chanel EDP 3.4oz,Chanel,"Grapefruit, Incense, Cedar",N/A*,"Top 3 men's scent, layering king","check sourcing"
23,Men's Fragrances,Acqua di Gio EDP 3.3oz,Armani,"Marine, Bergamot, Cedar",$72.50,"Classic aquatic, layering staple",
24,Men's Fragrances,1 Million EDT 3.4oz,Paco Rabanne,"Grapefruit, Cinnamon, Leather",$64.00,"Iconic sweet-spicy, popular layering base",
25,Men's Fragrances,Eros EDP 3.4oz,Versace,"Mint, Green Apple, Vanilla",$59.00,"Night-out staple, sweet layering base",
26,Men's Fragrances,Invictus EDT 3.4oz,Paco Rabanne,"Grapefruit, Ambergris, Woods",$62.00,"Fresh-powerhouse, popular with Gen Z",
27,Men's Fragrances,Bad Boy EDT 3.4oz,Carolina Herrera,"Grapefruit, Sage, Cocoa",$73.00,"Trending, layering-friendly",
28,Men's Fragrances,Stronger With You Intensely EDP 3.4oz,Armani,"Cinnamon, Vanilla, Chestnut",$90.00,"Sweet-gourmand layering star",
29,Men's Fragrances,The One EDP 3.4oz,D&G,"Ginger, Cardamom, Amber",$46.50,"Warm evening scent, layering base",
30,Men's Fragrances,La Nuit de L'Homme EDT 3.4oz,YSL,"Cardamom, Cedar, Bergamot",$60.00,"Date-night legend, layering partner",
31,Men's Fragrances,Dior Homme Intense EDP 3.4oz,Dior,"Iris, Cocoa, Leather",$105.00,"Sophisticated layering, premium",
32,Men's Fragrances,Jean Paul Gaultier Le Male EDT 6.7oz,JPG,"Lavender, Vanilla, Mint",$88.00,"Classic, sweet layering base",
33,Men's Fragrances,Tom Ford Ombre Leather EDP 3.4oz,Tom Ford,"Leather, Violet, Amber",$151.00,"Niche appeal, leather layering star",
34,Men's Fragrances,Tom Ford Grey Vetiver EDP 3.4oz,Tom Ford,"Vetiver, Citrus, Woods",$101.00,"Professional layering partner",
35,Men's Fragrances,Legend Blue EDP 3.3oz,Montblanc,"Bergamot, Violet, Oud",$43.75,"Affordable Blue scent, layering versatile",
36,Men's Fragrances,Club de Nuit Intense EDT 3.6oz,Armaf,"Pineapple, Birch, Musk",$24.00,"Best-selling Aventus alternative, layering hero",
37,Men's Fragrances,Tom Ford Noir Extreme EDP 3.4oz,Tom Ford,"Nutmeg, Vanilla, Amber",$117.00,"Gourmand-oriental, layering star",
38,Men's Fragrances,Replica Jazz Club EDT 3.4oz,Maison Margiela,"Rum, Tobacco, Vanilla",$78.00,"Niche-crossover, layering favorite",
39,Unisex / Niche / Premium Layering Staples,Aventus EDP 3.3oz,Creed,"Pineapple, Birch, Musk",$322.00,"Holy grail men's scent, premium decants",
40,Unisex / Niche / Premium Layering Staples,Green Irish Tweed EDP 3.3oz,Creed,"Lemon Verbena, Iris, Ambergris",$227.00,"Classic fresh niche, layering staple",
41,Unisex / Niche / Premium Layering Staples,Layton EDP 4.2oz,Parfums de Marly,"Apple, Vanilla, Cardamom",$213.00,"Trending niche, layering favorite",
42,Unisex / Niche / Premium Layering Staples,Baccarat Rouge 540 EDP 2.5oz,MFK,"Saffron, Jasmine, Ambergris",$275.00*,"Viral luxury, THE layering status scent","check availability"
43,Unisex / Niche / Premium Layering Staples,Grand Soir EDP 2.5oz,MFK,"Amber, Vanilla, Benzoin",$198.00*,"Amber layering king","check availability"
44,Unisex / Niche / Premium Layering Staples,Black Phantom EDP 1.7oz,Kilian,"Dark Chocolate, Coffee, Rum",$189.00,"Gourmand niche, layering star",
45,Unisex / Niche / Premium Layering Staples,Replica By the Fireplace EDT 3.4oz,Maison Margiela,"Chestnut, Vanilla, Clove",$82.00*,"Cozy layering staple","check availability"
46,Unisex / Niche / Premium Layering Staples,Club de Nuit Milestone EDP 3.6oz,Armaf,"Sea Salt, Iris, Musk, Vetiver",$25.00,"Creed MI alternative, layering base",
47,Unisex / Niche / Premium Layering Staples,Guilty Pour Homme EDP 3.0oz,Gucci,"Lemon, Orange, Patchouli",$73.00,"Versatile layering base",
48,Unisex / Niche / Premium Layering Staples,Y EDP 3.4oz,YSL,"Apple, Sage, Tonka",$102.50,"Modern fresh, layering friendly",
49,Unisex / Niche / Premium Layering Staples,Hugo Boss Bottled Parfum 3.3oz,Hugo Boss,"Apple, Cinnamon, Vanilla",$54.50,"Versatile layering, accessible",
50,Unisex / Niche / Premium Layering Staples,Prada Luna Rossa Carbon EDT 3.4oz,Prada,"Lavender, Metallic, Amber",$65.50,"Fresh modern, layering partner",
